ArtificialStar0001 1.856378 9.152830
ArtificialStar0002 3.093213 1.314575
ArtificialStar0003 1.419917 5.521754
ArtificialStar0004 9.114651 5.094501
ArtificialStar0005 9.869388 1.611730
ArtificialStar0006 1.573930 8.747027
ArtificialStar0007 9.637921 7.006391
ArtificialStar0008 7.624093 7.009413
ArtificialStar0009 9.750811 0.341244
ArtificialStar0010 7.221927 8.510067
ArtificialStar0011 5.007119 3.895408
ArtificialStar0012 5.629444 5.582230
ArtificialStar0013 6.748883 9.852193
ArtificialStar0014 9.760108 4.347963
ArtificialStar0015 6.527331 7.456728
ArtificialStar0016 2.457000 8.341120
ArtificialStar0017 8.965945 3.882285
ArtificialStar0018 4.951902 6.744752
ArtificialStar0019 2.929532 0.172539
ArtificialStar0020 7.953861 3.947304
ArtificialStar0021 9.332501 7.409261
ArtificialStar0022 9.486420 0.723168
ArtificialStar0023 3.613447 5.650822
ArtificialStar0024 8.692048 8.742844
ArtificialStar0025 4.699765 0.294232
ArtificialStar0026 0.845874 3.556123
ArtificialStar0027 1.387805 9.458843
ArtificialStar0028 7.439096 4.943942
ArtificialStar0029 9.784131 9.191461
ArtificialStar0030 5.713748 4.765776
ArtificialStar0031 5.056756 9.527355
ArtificialStar0032 5.539820 1.029603
ArtificialStar0033 3.534841 1.149629
ArtificialStar0034 1.482433 2.612957
ArtificialStar0035 1.563482 4.894996
ArtificialStar0036 6.465653 3.571826
ArtificialStar0037 3.726386 4.766164
ArtificialStar0038 0.246318 0.630992
ArtificialStar0039 8.278138 4.785481
ArtificialStar0040 7.175637 6.042681
ArtificialStar0041 7.566546 1.899865
ArtificialStar0042 8.260353 6.410873
ArtificialStar0043 3.404791 8.235133
ArtificialStar0044 9.379629 3.379209
ArtificialStar0045 8.635121 1.770055
ArtificialStar0046 1.207972 2.860837
ArtificialStar0047 7.680242 5.241244
ArtificialStar0048 4.576318 4.011112
ArtificialStar0049 2.800564 0.422612
ArtificialStar0050 9.443664 6.468885
ArtificialStar0051 9.380804 4.911792
ArtificialStar0052 4.045276 3.153515
ArtificialStar0053 2.356174 5.042102
ArtificialStar0054 4.392599 7.148811
ArtificialStar0055 8.028383 9.440180
ArtificialStar0056 8.459460 6.502589
ArtificialStar0057 9.962161 0.678245
ArtificialStar0058 5.919309 6.791289
ArtificialStar0059 8.244902 4.262274
ArtificialStar0060 0.287299 6.832559
ArtificialStar0061 8.671065 1.223142
ArtificialStar0062 2.107016 5.870207
ArtificialStar0063 5.883482 1.105547
ArtificialStar0064 6.311679 0.740591
ArtificialStar0065 5.057774 5.373340
ArtificialStar0066 1.345996 7.656046
ArtificialStar0067 2.583878 3.492242
ArtificialStar0068 4.364938 9.528677
ArtificialStar0069 6.379082 7.901885
ArtificialStar0070 5.844844 5.849158
ArtificialStar0071 4.936741 4.108565
ArtificialStar0072 1.422771 2.350589
ArtificialStar0073 0.950647 6.904360
ArtificialStar0074 3.292440 5.031596
ArtificialStar0075 6.200033 0.716568
ArtificialStar0076 5.982665 5.930904
ArtificialStar0077 2.302116 1.422898
ArtificialStar0078 5.024306 9.639357
ArtificialStar0079 4.903300 4.606947
ArtificialStar0080 9.653322 9.107363
ArtificialStar0081 6.732340 8.819276
ArtificialStar0082 7.255596 7.514972
ArtificialStar0083 3.884802 7.517386
ArtificialStar0084 1.961707 7.921487
ArtificialStar0085 4.014682 5.895409
ArtificialStar0086 2.616477 1.233880
ArtificialStar0087 7.403664 1.439222
ArtificialStar0088 2.395060 3.638536
ArtificialStar0089 1.698848 9.170600
ArtificialStar0090 1.433350 0.661348
